Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Population, male",SP.POP.TOTL.MA.IN,25312740,25534914,25789866,26012327,26197333,26373308,26523183,26668441,26797084,26908751,27025789,27157404,27263049,27323970,27352152,27360725,27358678,27346847,27345633,27373386,27407572,27411411,27395187,27431430,27498996,27548663,27597465,27667483,27599370,27525127,27606153,27686519,27796319,27899750,27973294,28058028,28143586,28227253,28320210,28428194,28548939,28682562,28826723,28981945,29166834,29386494,29624501,29881244,30143152,30395758,30663244,30931756,31173051,31402457,31660986,31919868,32205169,32400670,32572535,32757025,32829768,32961192,33275081,33718583,34087728
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.00525853,18.11467829,18.16883975,18.33264656,18.63819114,18.97402511,19.30700278,19.67439326,20.06613846,20.45413121,20.85616352,21.25079556,21.60510729,21.93337499,22.26040096,22.54685115,22.75817993,22.94845622,23.148745,23.31264183,23.41749012,23.4169014,23.25648964,22.95910573,22.81911759,23.03145383,23.33346757,23.55056146,23.92593714,24.27843914,24.42612208,24.57914808,24.70884525,24.77155454,24.79159979,24.79196499,24.76132985,24.70426018,24.61198906,24.48944549,24.37989192,24.32226036,24.29490234,24.29192169,24.2947848,24.22839639,24.11995306,24.107245,24.24665298,24.5034008,24.79154395,25.25963139,26.00821925,26.71180184,27.22787414,27.61482741,27.93576583,28.28127025,28.66233911,29.05855181,29.33378164,29.50301728,29.83951298,30.36669282,30.79793097
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,2.4696324,2.52989203,2.575077785,2.611790109,2.668303403,2.765631672,2.870394876,2.956597343,3.019963902,3.081089608,3.147089729,3.209587563,3.263960995,3.309842761,3.361342995,3.426280838,3.490189575,3.557474556,3.635983862,3.720423319,3.830932334,3.957366359,4.075180173,4.19303476,4.320489219,4.436463156,4.540912153,4.662361715,4.76757999,4.851424961,4.949886898,5.041820057,5.134806706,5.220859754,5.304716321,5.376148052,5.396010079,5.359680009,5.274982039,5.238772317,5.331986898,5.463402294,5.544618326,5.579097026,5.595289283,5.613278997,5.630601952,5.641163287,5.636908555,5.649313864,5.682058654,5.715980322,5.729991341,5.721246624,5.722523509,5.72238601,5.72681873,5.751903823,5.779726746,5.827276922,5.852093797,5.832706417,5.866159041,5.976624623,6.110167748
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,3.87593671,3.889389457,3.898851874,3.919837,3.942791066,3.965781176,4.002406214,4.04004796,4.078140701,4.136845968,4.225779796,4.320267911,4.399218057,4.477114662,4.553324193,4.606976884,4.648365585,4.697764493,4.750436692,4.790945454,4.812680082,4.818975981,4.815464917,4.811274345,4.797786155,4.755154941,4.664757803,4.508293381,4.317951057,4.202560159,4.260494876,4.399942783,4.545859749,4.713908875,4.779541641,4.675943905,4.534033319,4.429912716,4.34707691,4.292097149,4.255671842,4.218964282,4.169899737,4.115963612,4.059423355,4.003364574,3.966519253,3.966599208,3.988608512,4.014343793,4.016688795,3.998041414,4.020916528,4.103310637,4.214907052,4.341883289,4.540444029,4.800995883,4.983710629,5.056564462,5.088581758,5.091308914,4.991005331,4.878313874,4.85545255
"Population ages 65 and above, male",SP.POP.65UP.MA.IN,2364005,2383228,2402836,2435705,2482475,2528336,2572085,2624102,2680238,2735113,2794069,2856393,2915051,2970771,3027067,3079999,3127798,3176113,3226641,3274260,3313604,3334341,3329949,3305944,3304659,3353588,3415323,3463879,3530291,3593945,3632834,3671679,3706774,3733620,3757344,3783644,3809262,3834214,3857502,3880287,3911439,3954185,4000049,4046929,4100381,4152415,4197438,4253348,4330767,4422086,4518174,4647563,4821643,4986167,5122074,5233300,5332668,5416396,5504075,5598123,5654210,5711007,5831447,6006822,6155664
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,4.777859028,4.808945067,4.830361619,4.851966511,4.900803276,4.978231361,5.054633325,5.126543755,5.207027472,5.2765674,5.315079987,5.341384055,5.375490796,5.417060851,5.455026965,5.475175636,5.475898607,5.467326348,5.455990348,5.440882675,5.400667469,5.303977974,5.129410378,4.885372096,4.729056612,4.800061315,4.975809079,5.154618841,5.337040537,5.402676655,5.270646504,5.09288553,4.967908452,4.870125618,4.802009007,4.751137802,4.697793284,4.631972965,4.563965875,4.501210128,4.449654473,4.423632318,4.435715554,4.466055753,4.495116994,4.492167479,4.456308634,4.459410302,4.530783923,4.639490852,4.768286859,4.977096942,5.254427981,5.446572016,5.515405012,5.537265396,5.478006757,5.32731027,5.224639038,5.20922152,5.226541201,5.257719883,5.308589474,5.391673813,5.460343154
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,6.356118146,6.385036306,6.408484624,6.444504424,6.471753711,6.461581002,6.429360922,6.379670696,6.324213374,6.269642524,6.193815407,6.064429608,5.858568092,5.578927386,5.397271193,5.474940034,5.679957984,5.890336907,6.105460668,6.187323268,6.032166211,5.814132689,5.666339465,5.559554358,5.4835058,5.424003803,5.360537939,5.288569028,5.183163144,5.068719212,4.979926918,4.925755607,4.929572665,4.967335807,5.015367218,5.039641085,5.035736494,5.07013714,5.167445325,5.302560446,5.469014696,5.720796368,6.031261753,6.241997303,6.310192308,6.311808527,6.224082576,6.034035011,5.888737658,5.844157447,5.84236122,5.878273997,5.935308205,6.00415356,6.071303756,6.138686415,6.224944945,6.314762657,6.390958089,6.466589446,6.539714117,6.587286687,6.639533664,6.711754519,6.764202499
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,6.961608873,6.794059691,6.549395841,6.211304711,5.963981851,5.996492758,6.171070551,6.367984848,6.57668693,6.63841751,6.455501523,6.210611321,6.034596427,5.906879717,5.816401406,5.747324266,5.681406971,5.606349812,5.518080943,5.42676061,5.352185565,5.311188928,5.315006077,5.361303518,5.414892022,5.425497065,5.400632212,5.415011753,5.485568972,5.601283922,5.768020418,6.030154446,6.375647947,6.626522741,6.726726711,6.763260098,6.703552524,6.529387837,6.39917689,6.374715269,6.396304977,6.448759024,6.511948865,6.584357236,6.648842841,6.707048212,6.784874291,6.864734773,6.928086967,6.986592478,7.052476632,7.088966791,7.102325679,7.129047559,7.146636973,7.113752225,7.082148773,7.030134619,6.870118468,6.662947806,6.526278748,6.349182242,6.126370593,5.999677147,5.957656048
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,6.958696382,6.701895774,6.507329232,6.346719341,6.209008619,6.098541017,5.989232808,5.87153955,5.748781407,5.629431629,5.528782225,5.465130347,5.452518482,5.485495682,5.534744615,5.554126734,5.540941851,5.562150538,5.656565124,5.790408535,5.945667903,6.206547685,6.566752669,6.848410588,6.989097112,7.059868276,7.014839242,6.819871897,6.635843196,6.571127452,6.58364415,6.639875285,6.710432534,6.796570739,6.890074006,6.984313141,7.098399227,7.208382892,7.29501744,7.380207378,7.478247981,7.546278982,7.582247409,7.616847629,7.633576193,7.587830296,7.539113291,7.469935068,7.286673508,7.05583068,6.838301307,6.580018323,6.33977332,6.222851083,6.212561992,6.28316084,6.394257989,6.509854946,6.593949341,6.622460353,6.638134478,6.663486917,6.657264201,6.597980268,6.553069168
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,5.986833772,5.923804766,5.906702949,5.909816082,5.92624725,5.932712372,5.903144309,5.889089531,5.934298134,6.02155594,6.143956381,6.386052692,6.733376573,7.003747453,7.134946949,7.2032439,7.162812909,6.969706332,6.771510324,6.652658373,6.587016019,6.574034814,6.61226818,6.729326524,6.896627212,7.077933821,7.27739827,7.467280379,7.528499534,7.541796823,7.623522706,7.665289638,7.678676197,7.690915522,7.680361603,7.616034783,7.549649278,7.460992192,7.262812314,7.031818705,6.829103212,6.575237302,6.321097072,6.196764861,6.202815901,6.311437321,6.466067648,6.619126357,6.727831802,6.777004329,6.807284363,6.812636947,6.76525611,6.665012696,6.591995618,6.556844673,6.531857906,6.536720158,6.567700675,6.55418403,6.487426337,6.439033662,6.357263285,6.250378545,6.169590093
